date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2020-05-22,8849,127,Russia,114587226,317554,277.1286216493276,9329.857142857143,3099,2.7044899402661162,113.42857142857143
2020-05-23,8894,150,Russia,114587226,326448,284.8903943272001,9086.42857142857,3249,2.8353945840350474,118.71428571428571
2020-05-24,9434,139,Russia,114587226,335882,293.1234237226408,9119.857142857143,3388,2.9566995539275904,121.57142857142857
2020-05-25,8599,153,Russia,114587226,344481,300.627750601101,8961.285714285714,3541,3.0902222905719,130
2020-05-26,8946,92,Russia,114587226,353427,308.43490355548005,8964.142857142857,3633,3.170510472083511,130.14285714285714
2020-05-27,8915,174,Russia,114587226,362342,316.2150028834802,8914.42857142857,3807,3.3223598588554712,138.57142857142858
2020-05-28,8338,161,Russia,114587226,370680,323.49155568178253,8853.57142857143,3968,3.4628641765007906,142.28571428571428
2020-05-29,8371,174,Russia,114587226,379051,330.796907501714,8785.285714285714,4142,3.6147135632727507,149
2020-05-30,8572,232,Russia,114587226,387623,338.27767154429586,8739.285714285714,4374,3.8171794123020306,160.71428571428572
2020-05-31,8952,181,Russia,114587226,396575,346.0900606844256,8670.42857142857,4555,3.975137682449874,166.71428571428572
2020-06-01,9268,138,Russia,114587226,405843,354.17822227409533,8766,4693,4.09556995471729,164.57142857142858
2020-06-02,9035,162,Russia,114587226,414878,362.0630453171106,8778.714285714286,4855,4.236946969987736,174.57142857142858
2020-06-03,8863,182,Russia,114587226,423741,369.7977643686042,8771.285714285714,5037,4.395777937760706,175.71428571428572
2020-06-04,8536,178,Russia,114587226,432277,377.2471112966815,8799.57142857143,5215,4.551118115033171,178.14285714285714
2020-06-05,8831,169,Russia,114587226,441108,384.95390402417104,8865.285714285714,5384,4.6986040136795,177.42857142857142
2020-06-06,8726,144,Russia,114587226,449834,392.5690635010223,8887.285714285714,5528,4.8242724716976735,164.85714285714286
2020-06-07,8855,197,Russia,114587226,458689,400.29680097151487,8873.42857142857,5725,4.996193903847536,167.14285714285714
2020-06-08,8984,134,Russia,114587226,467673,408.13711643564875,8832.857142857143,5859,5.113135385614449,166.57142857142858
2020-06-09,8985,112,Russia,114587226,476658,415.9783045974077,8825.714285714286,5971,5.210877519628584,159.42857142857142
2020-06-10,8595,170,Russia,114587226,485253,423.47914068536744,8787.42857142857,6141,5.359236115900039,157.71428571428572
2020-06-11,8404,217,Russia,114587226,493657,430.8132915269281,8768.57142857143,6358,5.5486115005524255,163.28571428571428
2020-06-12,8779,174,Russia,114587226,502436,438.4747039779111,8761.142857142857,6532,5.700460887324386,164
2020-06-13,8987,183,Russia,114587226,511423,446.3176375349203,8798.42857142857,6715,5.860164552722482,169.57142857142858
2020-06-14,8706,114,Russia,114587226,520129,453.91534305926905,8777.142857142857,6829,5.95965208198687,157.71428571428572
2020-06-15,8835,119,Russia,114587226,528964,461.6256265772591,8755.857142857143,6948,6.063503099376888,155.57142857142858
2020-06-16,8246,143,Russia,114587226,537210,468.8218911940498,8650.285714285714,7091,6.188298859769936,160
2020-06-17,8248,193,Russia,114587226,545458,476.01990120609076,8600.714285714286,7284,6.356729501419294,163.28571428571428
2020-06-18,7843,194,Russia,114587226,553301,482.8644686799556,8520.57142857143,7478,6.526032840693778,160
2019-12-31,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-01,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-02,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-03,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-04,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-05,0,0,Spain,46937060,0,0,NA,0,0,NA
2020-01-06,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-07,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-08,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-09,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-10,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-11,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-12,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-13,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-14,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-15,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-16,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-17,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-18,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-19,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-20,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-21,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-22,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-23,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-24,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-25,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-26,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-27,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-28,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-29,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-30,0,0,Spain,46937060,0,0,0,0,0,0
2020-01-31,0,0,Spain,46937060,0,0,0,0,0,0
2020-02-01,1,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-02,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-03,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-04,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-05,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-06,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-07,0,0,Spain,46937060,1,0.0021305126482144385,0.14285714285714285,0,0,0
2020-02-08,0,0,Spain,46937060,1,0.0021305126482144385,0,0,0,0
2020-02-09,0,0,Spain,46937060,1,0.0021305126482144385,0,0,0,0
2020-02-10,1,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-11,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-12,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-13,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-14,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-15,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-16,0,0,Spain,46937060,2,0.004261025296428877,0.14285714285714285,0,0,0
2020-02-17,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-18,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-19,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-20,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-21,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-22,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-23,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-24,0,0,Spain,46937060,2,0.004261025296428877,0,0,0,0
2020-02-25,1,0,Spain,46937060,3,0.006391537944643316,0.14285714285714285,0,0,0
2020-02-26,6,0,Spain,46937060,9,0.019174613833929946,1,0,0,0
2020-02-27,8,0,Spain,46937060,17,0.03621871501964546,2.142857142857143,0,0,0
2020-02-28,18,0,Spain,46937060,35,0.07456794268750534,4.714285714285714,0,0,0
2020-02-29,19,0,Spain,46937060,54,0.11504768300357968,7.428571428571429,0,0,0
2020-03-01,28,0,Spain,46937060,82,0.17470203715358396,11.428571428571429,0,0,0
2020-03-02,54,0,Spain,46937060,136,0.28974972015716366,19.142857142857142,0,0,0
